Verbs\Deprels	NMOD	P	PMOD	SBJ	OBJ	ADV	NAME	VC	COORD	DEP	TMP	CONJ	LOC	AMOD	PRD	APPO	IM	HYPH	EXTRA
permits	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
person	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
place	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
plan	0	2	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2
plans	0	6	0	5	0	0	1	0	0	0	1	0	0	0	1	0	0	0	7
platitudes	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
played	0	3	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
plays	0	3	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
pleaded	0	2	0	1	0	3	0	0	0	0	0	0	1	0	1	0	0	0	0
plummeted	0	3	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3
plunge	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
point	0	2	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
posted	0	9	0	4	4	2	0	0	1	0	3	0	0	0	0	0	0	0	0
power	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1
precludes	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
predicted	0	8	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
predicts	0	3	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
progressed	0	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
projects	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
promised	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pronounced	0	1	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1
proposed	0	2	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1
provision	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pushed	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1
put	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
question	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
questions	1	2	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
ran	0	2	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1
range	0	2	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2
ranged	0	3	0	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	1
ranks	0	2	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
rate	5	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
rates	3	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
reached	0	4	0	3	2	3	0	0	0	0	2	0	0	0	0	0	0	0	0
reasons	0	3	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
recalls	0	7	0	2	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0
received	0	7	0	5	5	1	0	0	0	0	1	0	0	0	0	0	0	0	0
recommends	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
reflected	0	3	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
reinvented	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
reiterated	0	2	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
rejected	0	4	0	2	2	1	0	0	0	0	1	0	0	0	0	0	0	0	1
remain	0	2	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
remains	0	3	0	3	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0
remarks	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
remembers	0	4	0	2	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1
renewed	0	3	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
reopened	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
repeals	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
replied	0	14	0	4	1	1	0	0	2	2	0	0	0	0	0	0	0	0	1
reported	0	17	0	10	9	3	0	0	1	1	5	0	1	0	0	0	0	0	0
represented	0	2	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
represents	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
require	0	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
requires	0	3	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2
resigned	0	3	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
responded	0	5	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
restrict	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
retired	0	2	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0
revelations	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
reversed	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
review	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ripped	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
rises	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
risks	0	3	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0
rogers	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
rose	0	10	0	6	0	2	0	0	0	0	5	0	0	0	0	0	0	0	10
rubbish	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
run	0	2	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1
said	0	823	0	375	370	33	0	0	13	15	28	0	24	0	0	0	0	0	7
saluted	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
sandwiched	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
saw	0	4	0	3	3	2	0	0	1	2	0	0	0	0	0	0	0	0	0
say	0	54	0	32	28	7	0	0	3	3	0	0	0	0	0	0	0	0	2
says	0	239	0	81	81	6	0	0	4	3	0	0	2	0	0	0	0	0	0
schwarzwaldklinik	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
see	0	7	0	3	3	1	0	0	0	0	3	0	0	0	0	0	0	0	1
seeks	0	2	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
seems	0	4	0	3	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0
sees	0	2	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
sell	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
sells	0	4	0	2	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0
sent	0	4	0	1	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0
settled	0	5	0	3	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0
shares	28	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
should	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
showed	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
shows	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
shvartze	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
signed	0	3	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1
slid	0	4	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	4
smiled	0	5	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1
snapped	0	3	0	1	1	1	0	0	0	0	2	0	0	0	0	0	0	0	1
snowballed	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
soared	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
sold	0	5	0	2	1	2	0	0	1	0	1	0	1	0	0	0	0	0	0
spalsbury	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
specializes	0	2	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
speculate	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
spells	0	3	0	2	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0
spent	0	5	0	2	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0
spurted	0	2	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
started	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
states	3	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
stayed	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
stearns	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
stems	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
stepped	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
stocks	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
stood	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
stopped	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
stressed	0	4	0	2	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0
stunned	0	2	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
suffered	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
suggest	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
suggested	0	4	0	2	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
suggests	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
summed	0	2	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
support	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
surrendered	0	3	0	1	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0
suspended	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
system	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
takes	0	5	0	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
target	0	2	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
technology	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
tends	0	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1
termed	0	2	0	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
terrizzi	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
texas	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
that	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
the	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
think	0	14	0	7	7	2	0	0	1	3	1	0	0	0	0	0	0	0	3
thinks	0	2	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
third	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
thought	0	5	0	3	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0
threatened	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
thrived	0	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ticks	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1
time	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
to	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0
told	0	12	0	5	8	1	0	0	2	0	2	0	0	0	0	0	0	0	0
took	0	2	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
totaled	0	6	0	4	5	0	0	0	1	0	1	0	1	0	0	0	0	0	0
touts	0	4	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
traded	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
transports	0	2	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
traveled	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
tried	0	9	0	3	0	3	0	0	0	0	1	0	0	0	0	0	0	0	3
trouble	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
trust	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
tumbled	0	4	0	3	0	1	0	0	1	0	3	0	0	0	0	0	0	0	3
turned	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2
turns	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
underscores	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
used	0	7	0	4	3	3	0	0	0	0	1	0	0	0	1	0	0	0	1
viewed	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vihon	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
vitarine	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
voted	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1
vowed	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
waited	0	3	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
want	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
wants	0	4	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3
warned	0	8	0	2	3	2	0	0	0	0	2	0	0	0	0	0	0	0	0
was	0	136	0	96	1	26	0	46	12	3	21	0	9	0	47	0	0	0	4
way	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
weber	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
weeks	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
weighs	0	3	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
welcomed	0	4	0	2	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
well	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
went	0	5	0	2	1	2	0	0	0	0	4	0	0	0	1	0	0	0	2
were	0	76	0	50	1	22	0	31	3	7	10	0	2	0	25	0	0	0	2
will	0	98	0	72	1	27	0	71	5	3	5	0	3	0	0	0	0	0	1
withhold	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
wo	0	7	0	6	0	7	0	6	0	3	0	0	0	0	0	0	0	0	0
won	0	4	0	4	4	2	0	0	1	0	0	0	0	0	0	0	0	0	0
wonder	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
worked	0	7	0	2	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0
worries	0	4	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
worry	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
would	0	39	0	24	1	10	0	22	4	3	0	0	0	0	0	0	0	0	4
writes	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wrote	0	7	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
year	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
yields	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
yuppies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
